Name,Age,Position,Club Name,League Name,Market Value,Nationality,Profile URL
Andreas Leitner,"Mar 25, 1994 (31)",Goalkeeper,SV Ried,Austrian Bundesliga,€300k,Austria,https://www.transfermarkt.com/andreas-leitner/profil/spieler/106851
Felix Wimmer,"Aug 17, 1998 (26)",Goalkeeper,SV Ried,Austrian Bundesliga,€75k,Austria,https://www.transfermarkt.com/felix-wimmer/profil/spieler/268335
Dominik Stöger,"Sep 22, 2006 (18)",Goalkeeper,SV Ried,Austrian Bundesliga,€10k,Austria,https://www.transfermarkt.com/dominik-stoger/profil/spieler/842187
Nikki Havenaar,"Feb 16, 1995 (30)",Centre-Back,SV Ried,Austrian Bundesliga,€500k,Japan,https://www.transfermarkt.com/nikki-havenaar/profil/spieler/129684
Oliver Steurer,"Jan 6, 1995 (30)",Centre-Back,SV Ried,Austrian Bundesliga,€300k,Germany,https://www.transfermarkt.com/oliver-steurer/profil/spieler/156710
Michael Sollbauer,"May 15, 1990 (35)",Centre-Back,SV Ried,Austrian Bundesliga,€150k,Austria,https://www.transfermarkt.com/michael-sollbauer/profil/spieler/74179
Benjamin Sammer,"Mar 11, 2005 (20)",Centre-Back,SV Ried,Austrian Bundesliga,€75k,Austria,https://www.transfermarkt.com/benjamin-sammer/profil/spieler/804033
Thomas Jungbauer,"Jul 30, 2005 (19)",Centre-Back,SV Ried,Austrian Bundesliga,€25k,Dominican Republic / Austria,https://www.transfermarkt.com/thomas-jungbauer/profil/spieler/807746
Marco Untergrabner,"Nov 2, 2001 (23)",Centre-Back,SV Ried,Austrian Bundesliga,-,Austria,https://www.transfermarkt.com/marco-untergrabner/profil/spieler/404468
David Bumberger,"Feb 5, 1999 (26)",Left-Back,SV Ried,Austrian Bundesliga,€250k,Austria,https://www.transfermarkt.com/david-bumberger/profil/spieler/321850
Lumor Agbenyenu,"Aug 15, 1996 (28)",Left-Back,SV Ried,Austrian Bundesliga,€150k,Ghana,https://www.transfermarkt.com/lumor-agbenyenu/profil/spieler/344393
Fabian Wohlmuth,"Jun 25, 2002 (23)",Right-Back,SV Ried,Austrian Bundesliga,€500k,Austria,https://www.transfermarkt.com/fabian-wohlmuth/profil/spieler/531289
Alexander Mankowski,"Sep 10, 2000 (24)",Right-Back,SV Ried,Austrian Bundesliga,-,Germany,https://www.transfermarkt.com/alexander-mankowski/profil/spieler/608896
Philip Weissenbacher,"Jun 1, 2005 (20)",Right-Back,SV Ried,Austrian Bundesliga,-,Austria,https://www.transfermarkt.com/philip-weissenbacher/profil/spieler/805544
Nemanja Celic,"Apr 26, 1999 (26)",Defensive Midfield,SV Ried,Austrian Bundesliga,€175k,Austria,https://www.transfermarkt.com/nemanja-celic/profil/spieler/353899
Jonas Mayer,"Jun 29, 2004 (21)",Central Midfield,SV Ried,Austrian Bundesliga,€500k,Austria,https://www.transfermarkt.com/jonas-mayer/profil/spieler/693101
Martin Rasner,"May 18, 1995 (30)",Central Midfield,SV Ried,Austrian Bundesliga,€300k,Austria,https://www.transfermarkt.com/martin-rasner/profil/spieler/195745
Nik Marinsek,"Feb 17, 1999 (26)",Central Midfield,SV Ried,Austrian Bundesliga,€175k,Slovenia,https://www.transfermarkt.com/nik-marinsek/profil/spieler/568282
Nermin Mesic,"Jan 23, 2006 (19)",Central Midfield,SV Ried,Austrian Bundesliga,-,Germany / Bosnia-Herzegovina,https://www.transfermarkt.com/nermin-mesic/profil/spieler/1046130
Mateo Zetic,"May 14, 2005 (20)",Right Midfield,SV Ried,Austrian Bundesliga,-,Austria,https://www.transfermarkt.com/mateo-zetic/profil/spieler/982774
Philipp Pomer,"Aug 12, 1997 (27)",Left Midfield,SV Ried,Austrian Bundesliga,€250k,Austria,https://www.transfermarkt.com/philipp-pomer/profil/spieler/289396
Fabian Rossdorfer,"Nov 9, 2005 (19)",Left Midfield,SV Ried,Austrian Bundesliga,€175k,Austria,https://www.transfermarkt.com/fabian-rossdorfer/profil/spieler/805503
Mark Grosse,"Feb 1, 1999 (26)",Attacking Midfield,SV Ried,Austrian Bundesliga,€500k,Austria,https://www.transfermarkt.com/mark-grosse/profil/spieler/317442
Ante Bajic,"Aug 22, 1995 (29)",Left Winger,SV Ried,Austrian Bundesliga,€400k,Austria,https://www.transfermarkt.com/ante-bajic/profil/spieler/282918
Antonio Van Wyk,"Mar 30, 2002 (23)",Right Winger,SV Ried,Austrian Bundesliga,€250k,South Africa,https://www.transfermarkt.com/antonio-van-wyk/profil/spieler/898140
Belmin Beganovic,"Sep 9, 2004 (20)",Centre-Forward,SV Ried,Austrian Bundesliga,€600k,Austria / Bosnia-Herzegovina,https://www.transfermarkt.com/belmin-beganovic/profil/spieler/693092
Wilfried Eza,"Dec 28, 1996 (28)",Centre-Forward,SV Ried,Austrian Bundesliga,€350k,Cote d'Ivoire,https://www.transfermarkt.com/wilfried-eza/profil/spieler/471373
Saliou Sané,"Jul 19, 1992 (32)",Centre-Forward,SV Ried,Austrian Bundesliga,€150k,Germany / Senegal,https://www.transfermarkt.com/saliou-sane/profil/spieler/94256
David Berger,"Nov 25, 2004 (20)",Centre-Forward,SV Ried,Austrian Bundesliga,€150k,Austria,https://www.transfermarkt.com/david-berger/profil/spieler/1099038
Daniel Wimmer,"Jul 6, 2005 (19)",Striker,SV Ried,Austrian Bundesliga,-,Austria,https://www.transfermarkt.com/daniel-wimmer/profil/spieler/1040498
Kjell Scherpen,"Jan 23, 2000 (25)",Goalkeeper,SK Sturm Graz,Austrian Bundesliga,€5.00m,Netherlands,https://www.transfermarkt.com/kjell-scherpen/profil/spieler/463527
Daniil Khudyakov,"Jan 9, 2004 (21)",Goalkeeper,SK Sturm Graz,Austrian Bundesliga,€800k,Russia,https://www.transfermarkt.com/daniil-khudyakov/profil/spieler/718756
Matteo Bignetti,"May 6, 2004 (21)",Goalkeeper,SK Sturm Graz,Austrian Bundesliga,€250k,Austria,https://www.transfermarkt.com/matteo-bignetti/profil/spieler/629032
Christoph Wiener-Pucher,"Oct 8, 2006 (18)",Goalkeeper,SK Sturm Graz,Austrian Bundesliga,€50k,Austria / Germany,https://www.transfermarkt.com/christoph-wiener-pucher/profil/spieler/905112
Gregory Wüthrich,"Dec 4, 1994 (30)",Centre-Back,SK Sturm Graz,Austrian Bundesliga,€3.50m,Switzerland / Ghana,https://www.transfermarkt.com/gregory-wuthrich/profil/spieler/203125
Niklas Geyrhofer,"Feb 11, 2000 (25)",Centre-Back,SK Sturm Graz,Austrian Bundesliga,€2.00m,Austria,https://www.transfermarkt.com/niklas-geyrhofer/profil/spieler/394008
Emanuel Aiwu,"Dec 25, 2000 (24)",Centre-Back,SK Sturm Graz,Austrian Bundesliga,€2.00m,Austria,https://www.transfermarkt.com/emanuel-aiwu/profil/spieler/394152
