Name,Age,Position,Club Name,League Name,Market Value,Nationality,Profile URL
Jonas Urbig,"Aug 8, 2003 (21)",Goalkeeper,1.FC Köln,Bundesliga,€12.00m,Germany,https://www.transfermarkt.com/jonas-urbig/profil/spieler/607720
Marvin Schwäbe,"Apr 25, 1995 (30)",Goalkeeper,1.FC Köln,Bundesliga,€2.00m,Germany,https://www.transfermarkt.com/marvin-schwabe/profil/spieler/160929
Anthony Racioppi,"Dec 31, 1998 (26)",Goalkeeper,1.FC Köln,Bundesliga,€1.00m,Switzerland / France,https://www.transfermarkt.com/anthony-racioppi/profil/spieler/395671
Philipp Pentke,"May 1, 1985 (40)",Goalkeeper,1.FC Köln,Bundesliga,€200k,Germany,https://www.transfermarkt.com/philipp-pentke/profil/spieler/8246
Jonas Nickisch,"May 21, 2004 (21)",Goalkeeper,1.FC Köln,Bundesliga,€175k,Germany,https://www.transfermarkt.com/jonas-nickisch/profil/spieler/665971
Matthias Köbbing,"May 28, 1997 (28)",Goalkeeper,1.FC Köln,Bundesliga,€100k,Germany,https://www.transfermarkt.com/matthias-kobbing/profil/spieler/227089
Timo Hübers,"Jul 20, 1996 (28)",Centre-Back,1.FC Köln,Bundesliga,€3.00m,Germany,https://www.transfermarkt.com/timo-hubers/profil/spieler/236981
Julian Pauli,"Jul 18, 2005 (19)",Centre-Back,1.FC Köln,Bundesliga,€2.50m,Germany / England,https://www.transfermarkt.com/julian-pauli/profil/spieler/744558
Joël Schmied,"Sep 23, 1998 (26)",Centre-Back,1.FC Köln,Bundesliga,€2.00m,Switzerland,https://www.transfermarkt.com/joel-schmied/profil/spieler/322517
Dominique Heintz,"Aug 15, 1993 (31)",Centre-Back,1.FC Köln,Bundesliga,€800k,Germany,https://www.transfermarkt.com/dominique-heintz/profil/spieler/110036
Elias Bakatukanda,"Apr 13, 2004 (21)",Centre-Back,1.FC Köln,Bundesliga,€400k,Germany / DR Congo,https://www.transfermarkt.com/elias-bakatukanda/profil/spieler/795762
Luca Kilian,"Sep 1, 1999 (25)",Centre-Back,1.FC Köln,Bundesliga,€400k,Germany,https://www.transfermarkt.com/luca-kilian/profil/spieler/384553
Neo Telle,"Apr 24, 2005 (20)",Centre-Back,1.FC Köln,Bundesliga,€300k,Germany / Cameroon,https://www.transfermarkt.com/neo-telle/profil/spieler/917792
Mikail Özkan,"Mar 29, 2003 (22)",Centre-Back,1.FC Köln,Bundesliga,€50k,Germany / Türkiye,https://www.transfermarkt.com/mikail-ozkan/profil/spieler/696012
Max Finkgräfe,"Mar 27, 2004 (21)",Left-Back,1.FC Köln,Bundesliga,€4.00m,Germany,https://www.transfermarkt.com/max-finkgrafe/profil/spieler/810649
Leart Paçarada,"Oct 8, 1994 (30)",Left-Back,1.FC Köln,Bundesliga,€1.50m,Kosovo / Germany,https://www.transfermarkt.com/leart-pacarada/profil/spieler/107219
Jusuf Gazibegovic,"Mar 11, 2000 (25)",Right-Back,1.FC Köln,Bundesliga,€4.00m,Bosnia-Herzegovina,https://www.transfermarkt.com/jusuf-gazibegovic/profil/spieler/393745
Rasmus Carstensen,"Nov 10, 2000 (24)",Right-Back,1.FC Köln,Bundesliga,€2.00m,Denmark,https://www.transfermarkt.com/rasmus-carstensen/profil/spieler/542697
Meiko Sponsel,"Feb 28, 2002 (23)",Right-Back,1.FC Köln,Bundesliga,€150k,Germany,https://www.transfermarkt.com/meiko-sponsel/profil/spieler/598576
Eric Martel,"Apr 29, 2002 (23)",Defensive Midfield,1.FC Köln,Bundesliga,€6.00m,Germany,https://www.transfermarkt.com/eric-martel/profil/spieler/597000
Dejan Ljubicic,"Oct 8, 1997 (27)",Defensive Midfield,1.FC Köln,Bundesliga,€4.00m,Austria,https://www.transfermarkt.com/dejan-ljubicic/profil/spieler/287188
Mathias Olesen,"Mar 21, 2001 (24)",Defensive Midfield,1.FC Köln,Bundesliga,€1.00m,Luxembourg / Denmark,https://www.transfermarkt.com/mathias-olesen/profil/spieler/490581
Jacob Christensen,"Jun 25, 2001 (24)",Defensive Midfield,1.FC Köln,Bundesliga,€800k,Denmark,https://www.transfermarkt.com/jacob-christensen/profil/spieler/515017
Fayssal Harchaoui,"Jan 15, 2006 (19)",Defensive Midfield,1.FC Köln,Bundesliga,-,Germany / Morocco,https://www.transfermarkt.com/fayssal-harchaoui/profil/spieler/890532
Denis Huseinbasic,"Jul 3, 2001 (23)",Central Midfield,1.FC Köln,Bundesliga,€2.80m,Bosnia-Herzegovina / Germany,https://www.transfermarkt.com/denis-huseinbasic/profil/spieler/678479
Meiko Wäschenbach,"Jan 13, 2004 (21)",Central Midfield,1.FC Köln,Bundesliga,€150k,Germany,https://www.transfermarkt.com/meiko-waschenbach/profil/spieler/696019
Emin Kujovic,"Sep 29, 2004 (20)",Central Midfield,1.FC Köln,Bundesliga,€125k,Montenegro / Bosnia-Herzegovina,https://www.transfermarkt.com/emin-kujovic/profil/spieler/795724
Florian Kainz,"Oct 24, 1992 (32)",Attacking Midfield,1.FC Köln,Bundesliga,€1.70m,Austria,https://www.transfermarkt.com/florian-kainz/profil/spieler/106270
Linton Maina,"Jun 23, 1999 (26)",Left Winger,1.FC Köln,Bundesliga,€4.00m,Germany / Kenya,https://www.transfermarkt.com/linton-maina/profil/spieler/335103
Jan Thielmann,"May 26, 2002 (23)",Right Winger,1.FC Köln,Bundesliga,€3.00m,Germany,https://www.transfermarkt.com/jan-thielmann/profil/spieler/472249
Marvin Obuz,"Jan 25, 2002 (23)",Right Winger,1.FC Köln,Bundesliga,€500k,Germany / Türkiye,https://www.transfermarkt.com/marvin-obuz/profil/spieler/522084
Oliver Schmitt,"Jun 4, 2000 (25)",Right Winger,1.FC Köln,Bundesliga,€125k,Germany / Cote d'Ivoire,https://www.transfermarkt.com/oliver-schmitt/profil/spieler/343336
Damion Downs,"Jul 6, 2004 (20)",Centre-Forward,1.FC Köln,Bundesliga,€6.00m,United States / Germany,https://www.transfermarkt.com/damion-downs/profil/spieler/820241
Tim Lemperle,"Feb 5, 2002 (23)",Centre-Forward,1.FC Köln,Bundesliga,€5.00m,Germany,https://www.transfermarkt.com/tim-lemperle/profil/spieler/553285
Luca Waldschmidt,"May 19, 1996 (29)",Centre-Forward,1.FC Köln,Bundesliga,€2.00m,Germany,https://www.transfermarkt.com/luca-waldschmidt/profil/spieler/196095
Imad Rondic,"Feb 16, 1999 (26)",Centre-Forward,1.FC Köln,Bundesliga,€1.50m,Bosnia-Herzegovina,https://www.transfermarkt.com/imad-rondic/profil/spieler/464154
Steffen Tigges,"Jul 31, 1998 (26)",Centre-Forward,1.FC Köln,Bundesliga,€700k,Germany,https://www.transfermarkt.com/steffen-tigges/profil/spieler/296879
Sargis Adamyan,"May 23, 1993 (32)",Centre-Forward,1.FC Köln,Bundesliga,€400k,Armenia,https://www.transfermarkt.com/sargis-adamyan/profil/spieler/125614
Mark Uth,"Aug 24, 1991 (33)",Centre-Forward,1.FC Köln,Bundesliga,€350k,Germany,https://www.transfermarkt.com/mark-uth/profil/spieler/112935
Jaka Cuber Potocnik,"Jun 17, 2005 (20)",Centre-Forward,1.FC Köln,Bundesliga,€350k,Slovenia,https://www.transfermarkt.com/jaka-cuber-potocnik/profil/spieler/940198
