Name,Age,Position,Club Name,League Name,Market Value,Nationality,Profile URL
Walter Benítez,"Jan 19, 1993 (32)",Goalkeeper,PSV Eindhoven,Eredivisie,€7.50m,Argentina / France,https://www.transfermarkt.com/walter-benitez/profil/spieler/296802
Joël Drommel,"Nov 16, 1996 (28)",Goalkeeper,PSV Eindhoven,Eredivisie,€1.50m,Netherlands,https://www.transfermarkt.com/joel-drommel/profil/spieler/333640
Niek Schiks,"Feb 3, 2004 (21)",Goalkeeper,PSV Eindhoven,Eredivisie,€250k,Netherlands,https://www.transfermarkt.com/niek-schiks/profil/spieler/723005
Tijn Smolenaars,"Feb 23, 2005 (20)",Goalkeeper,PSV Eindhoven,Eredivisie,€100k,Netherlands,https://www.transfermarkt.com/tijn-smolenaars/profil/spieler/720805
Ryan Flamingo,"Dec 31, 2002 (22)",Centre-Back,PSV Eindhoven,Eredivisie,€20.00m,Netherlands / Suriname,https://www.transfermarkt.com/ryan-flamingo/profil/spieler/586429
Olivier Boscagli,"Nov 18, 1997 (27)",Centre-Back,PSV Eindhoven,Eredivisie,€20.00m,France,https://www.transfermarkt.com/olivier-boscagli/profil/spieler/318508
Adamo Nagalo,"Sep 22, 2002 (22)",Centre-Back,PSV Eindhoven,Eredivisie,€6.00m,Burkina Faso / Cote d'Ivoire,https://www.transfermarkt.com/adamo-nagalo/profil/spieler/800976
Armando Obispo,"Mar 5, 1999 (26)",Centre-Back,PSV Eindhoven,Eredivisie,€3.00m,Netherlands / Curacao,https://www.transfermarkt.com/armando-obispo/profil/spieler/339337
Wessel Kuhn,"Sep 16, 2006 (18)",Centre-Back,PSV Eindhoven,Eredivisie,€500k,Netherlands,https://www.transfermarkt.com/wessel-kuhn/profil/spieler/942070
Emmanuel van de Blaak,"Feb 15, 2005 (20)",Centre-Back,PSV Eindhoven,Eredivisie,€450k,Netherlands / Nigeria,https://www.transfermarkt.com/emmanuel-van-de-blaak/profil/spieler/738481
Samuel Gomez Van Hoogen,"Jan 24, 2006 (19)",Centre-Back,PSV Eindhoven,Eredivisie,€300k,Belgium / Spain,https://www.transfermarkt.com/samuel-gomez-van-hoogen/profil/spieler/1024744
Mauro Júnior,"May 6, 1999 (26)",Left-Back,PSV Eindhoven,Eredivisie,€12.00m,Brazil,https://www.transfermarkt.com/mauro-junior/profil/spieler/323910
Tyrell Malacia,"Aug 17, 1999 (25)",Left-Back,PSV Eindhoven,Eredivisie,€8.00m,Netherlands / Curacao,https://www.transfermarkt.com/tyrell-malacia/profil/spieler/339340
Matteo Dams,"Mar 9, 2004 (21)",Left-Back,PSV Eindhoven,Eredivisie,€4.50m,Belgium,https://www.transfermarkt.com/matteo-dams/profil/spieler/654918
Fredrik Oppegård,"Aug 7, 2002 (22)",Left-Back,PSV Eindhoven,Eredivisie,€600k,Norway,https://www.transfermarkt.com/fredrik-oppegard/profil/spieler/539665
Sergiño Dest,"Nov 3, 2000 (24)",Right-Back,PSV Eindhoven,Eredivisie,€16.00m,United States / Netherlands,https://www.transfermarkt.com/sergino-dest/profil/spieler/361104
Jordan Teze,"Sep 30, 1999 (25)",Right-Back,PSV Eindhoven,Eredivisie,€9.00m,Netherlands / Congo,https://www.transfermarkt.com/jordan-teze/profil/spieler/364245
Rick Karsdorp,"Feb 11, 1995 (30)",Right-Back,PSV Eindhoven,Eredivisie,€3.00m,Netherlands,https://www.transfermarkt.com/rick-karsdorp/profil/spieler/205006
Richard Ledezma,"Sep 6, 2000 (24)",Right-Back,PSV Eindhoven,Eredivisie,€3.00m,United States / Mexico,https://www.transfermarkt.com/richard-ledezma/profil/spieler/575367
Michael Bresser,"Apr 24, 2007 (18)",Right-Back,PSV Eindhoven,Eredivisie,€350k,Netherlands / United States,https://www.transfermarkt.com/michael-bresser/profil/spieler/1088684
Jerdy Schouten,"Jan 12, 1997 (28)",Defensive Midfield,PSV Eindhoven,Eredivisie,€22.00m,Netherlands,https://www.transfermarkt.com/jerdy-schouten/profil/spieler/347900
Ismael Saibari,"Jan 28, 2001 (24)",Central Midfield,PSV Eindhoven,Eredivisie,€27.00m,Morocco / Belgium,https://www.transfermarkt.com/ismael-saibari/profil/spieler/702869
Joey Veerman,"Nov 19, 1998 (26)",Central Midfield,PSV Eindhoven,Eredivisie,€25.00m,Netherlands,https://www.transfermarkt.com/joey-veerman/profil/spieler/408574
