Name,Age,Position,Club Name,League Name,Market Value,Nationality,Profile URL
Ennio van der Gouw,"Feb 14, 2000 (25)",Goalkeeper,Zulte Waregem,Jupiler Pro League,€600k,Netherlands,https://www.transfermarkt.com/ennio-van-der-gouw/profil/spieler/529425
Louis Bostyn,"Oct 4, 1993 (31)",Goalkeeper,Zulte Waregem,Jupiler Pro League,€150k,Belgium,https://www.transfermarkt.com/louis-bostyn/profil/spieler/159382
Arnaud Dobbels,"Feb 2, 2005 (20)",Goalkeeper,Zulte Waregem,Jupiler Pro League,€50k,Belgium,https://www.transfermarkt.com/arnaud-dobbels/profil/spieler/1065144
Sef Van Damme,"Jan 8, 2003 (22)",Goalkeeper,Zulte Waregem,Jupiler Pro League,€50k,Belgium,https://www.transfermarkt.com/sef-van-damme/profil/spieler/617982
Lukas Willen,"Apr 25, 2003 (22)",Centre-Back,Zulte Waregem,Jupiler Pro League,€1.00m,Belgium,https://www.transfermarkt.com/lukas-willen/profil/spieler/574501
Anton Tanghe,"Jan 28, 1999 (26)",Centre-Back,Zulte Waregem,Jupiler Pro League,€700k,Belgium,https://www.transfermarkt.com/anton-tanghe/profil/spieler/460848
Laurent Lemoine,"Apr 24, 1998 (27)",Centre-Back,Zulte Waregem,Jupiler Pro League,€400k,Belgium / Brazil,https://www.transfermarkt.com/laurent-lemoine/profil/spieler/289584
Modou Tambedou,"Apr 4, 2003 (22)",Centre-Back,Zulte Waregem,Jupiler Pro League,€300k,Senegal,https://www.transfermarkt.com/modou-tambedou/profil/spieler/1035048
Andres Labie,"Mar 24, 2004 (21)",Centre-Back,Zulte Waregem,Jupiler Pro League,€200k,Belgium,https://www.transfermarkt.com/andres-labie/profil/spieler/1064546
Eroine Agnikoi,"Dec 10, 2005 (19)",Centre-Back,Zulte Waregem,Jupiler Pro League,-,Cote d'Ivoire,https://www.transfermarkt.com/eroine-agnikoi/profil/spieler/1145003
Atli Barkarson,"Mar 19, 2001 (24)",Left-Back,Zulte Waregem,Jupiler Pro League,€400k,Iceland,https://www.transfermarkt.com/atli-barkarson/profil/spieler/490852
Yannick Cappelle,"Jul 7, 2003 (21)",Left-Back,Zulte Waregem,Jupiler Pro League,€250k,Belgium,https://www.transfermarkt.com/yannick-cappelle/profil/spieler/583901
Benoit De Jaegere,"Apr 12, 2004 (21)",Left-Back,Zulte Waregem,Jupiler Pro League,-,Belgium,https://www.transfermarkt.com/benoit-de-jaegere/profil/spieler/727088
Benoît Nyssen,"Sep 12, 1997 (27)",Right-Back,Zulte Waregem,Jupiler Pro League,€600k,Belgium,https://www.transfermarkt.com/benoit-nyssen/profil/spieler/286007
Wilguens Paugain,"Aug 24, 2001 (23)",Right-Back,Zulte Waregem,Jupiler Pro League,€200k,Haiti / France,https://www.transfermarkt.com/wilguens-paugain/profil/spieler/609691
