Name,Age,Position,Nationality,Market Value,Club Name
Thibaut Courtois,33,Goalkeeper,Belgium,€20.00m,Real Madrid
Andriy Lunin,26,Goalkeeper,Ukraine,€18.00m,Real Madrid
Fran González,20,Goalkeeper,Spain,€400k,Real Madrid
Dean Huijsen,20,Centre-Back,Spain / Netherlands,€60.00m,Real Madrid
Raúl Asencio,22,Centre-Back,Spain,€40.00m,Real Madrid
Éder Militão,27,Centre-Back,Brazil / Spain,€30.00m,Real Madrid
Antonio Rüdiger,32,Centre-Back,Germany / Sierra Leone,€20.00m,Real Madrid
David Alaba,33,Centre-Back,Austria,€6.00m,Real Madrid
Fran García,25,Left-Back,Spain,€18.00m,Real Madrid
Ferland Mendy,30,Left-Back,France / Senegal,€14.00m,Real Madrid
Trent Alexander-Arnold,26,Right-Back,England,€75.00m,Real Madrid
Daniel Carvajal,33,Right-Back,Spain,€8.00m,Real Madrid
Lucas Vázquez,34,Right-Back,Spain,€3.00m,Real Madrid
Aurélien Tchouaméni,25,Defensive Midfield,France / Cameroon,€75.00m,Real Madrid
Mario Martín,21,Defensive Midfield,Spain,€1.50m,Real Madrid
Federico Valverde,26,Central Midfield,Uruguay / Spain,€130.00m,Real Madrid
Eduardo Camavinga,22,Central Midfield,France / DR Congo,€60.00m,Real Madrid
Dani Ceballos,28,Central Midfield,Spain,€10.00m,Real Madrid
Luka Modrić,39,Central Midfield,Croatia,€4.00m,Real Madrid
Jude Bellingham,22,Attacking Midfield,England / Ireland,€180.00m,Real Madrid
Reinier,23,Attacking Midfield,Brazil,€1.50m,Real Madrid
Vinicius Junior,24,Left Winger,Brazil / Spain,€170.00m,Real Madrid
Rodrygo,24,Right Winger,Brazil / Spain,€90.00m,Real Madrid
Arda Güler,20,Right Winger,Türkiye,€45.00m,Real Madrid
Brahim Díaz,25,Right Winger,Morocco / Spain,€40.00m,Real Madrid
Kylian Mbappé,26,Centre-Forward,France / Cameroon,€180.00m,Real Madrid
Endrick,18,Centre-Forward,Brazil,€35.00m,Real Madrid
Gonzalo García,21,Centre-Forward,Spain,€8.00m,Real Madrid
Álvaro Rodríguez,20,Centre-Forward,Uruguay / Spain,€2.50m,Real Madrid
Marko Dmitrovic,33,Goalkeeper,Serbia,€800k,RCD Espanyol Barcelona
Ángel Fortuño,23,Goalkeeper,Spain,€300k,RCD Espanyol Barcelona
Miguel Rubio,27,Centre-Back,Spain,€2.00m,RCD Espanyol Barcelona
Fernando Calero,29,Centre-Back,Spain,€1.50m,RCD Espanyol Barcelona
Leandro Cabrera,34,Centre-Back,Uruguay / Spain,€1.00m,RCD Espanyol Barcelona
Hugo Pérez,22,Centre-Back,Spain,€200k,RCD Espanyol Barcelona
Pablo Ramón,24,Centre-Back,Spain,€100k,RCD Espanyol Barcelona
Carlos Romero,23,Left-Back,Spain,€5.00m,RCD Espanyol Barcelona
José Salinas,24,Left-Back,Spain,€3.00m,RCD Espanyol Barcelona
Omar El Hilali,21,Right-Back,Morocco / Spain,€15.00m,RCD Espanyol Barcelona
Álvaro Tejero,28,Right-Back,Spain,€1.80m,RCD Espanyol Barcelona
Rubén Sánchez,24,Right-Back,Spain,€1.00m,RCD Espanyol Barcelona
Pol Lozano,25,Central Midfield,Spain,€5.00m,RCD Espanyol Barcelona
Ramón Terrats,24,Central Midfield,Spain,€4.00m,RCD Espanyol Barcelona
Edu Expósito,28,Central Midfield,Spain,€3.00m,RCD Espanyol Barcelona
José Gragera,25,Central Midfield,Spain,€2.00m,RCD Espanyol Barcelona
Justin Smith,22,Central Midfield,Canada / France,€300k,RCD Espanyol Barcelona
Rafel Bauzà,20,Central Midfield,Spain,€200k,RCD Espanyol Barcelona
Javi Hernández,21,Attacking Midfield,Spain,€500k,RCD Espanyol Barcelona
Javi Puado,27,Left Winger,Spain,€10.00m,RCD Espanyol Barcelona
Pere Milla,32,Left Winger,Spain,€1.20m,RCD Espanyol Barcelona
Jofre Carreras,24,Right Winger,Spain,€3.00m,RCD Espanyol Barcelona
Antoniu Roca,22,Right Winger,Spain,€1.80m,RCD Espanyol Barcelona
Roberto Fernández,22,Centre-Forward,Spain,€6.00m,RCD Espanyol Barcelona
Kike García,35,Centre-Forward,Spain,€900k,RCD Espanyol Barcelona
Gastón Valles,24,Centre-Forward,Uruguay,€600k,RCD Espanyol Barcelona
Omar Sadik,21,Centre-Forward,Morocco,€500k,RCD Espanyol Barcelona
Marcos Fernández,22,Centre-Forward,Spain,€400k,RCD Espanyol Barcelona
Stole Dimitrievski,31,Goalkeeper,North Macedonia / Spain,€2.50m,Valencia CF
Cristian Rivero,27,Goalkeeper,Spain,€100k,Valencia CF
Cristhian Mosquera,21,Centre-Back,Spain / Colombia,€30.00m,Valencia CF
