Name,Age,Position,Club Name,League Name,Market Value,Nationality,Profile URL
Lucas França,"Jan 19, 1996 (29)",Goalkeeper,CD Nacional,Liga Portugal,€1.00m,Brazil,https://www.transfermarkt.com/lucas-franca/profil/spieler/418615
Rui Encarnação,"Apr 5, 1998 (27)",Goalkeeper,CD Nacional,Liga Portugal,€200k,Portugal,https://www.transfermarkt.com/rui-encarnacao/profil/spieler/671203
César Augusto,"Aug 23, 2003 (21)",Goalkeeper,CD Nacional,Liga Portugal,€100k,Brazil / Italy,https://www.transfermarkt.com/cesar-augusto/profil/spieler/870390
Zé Vítor,"Feb 9, 2001 (24)",Centre-Back,CD Nacional,Liga Portugal,€2.00m,Brazil,https://www.transfermarkt.com/ze-vitor/profil/spieler/879236
Ulisses,"Sep 28, 1999 (25)",Centre-Back,CD Nacional,Liga Portugal,€1.50m,Brazil,https://www.transfermarkt.com/ulisses/profil/spieler/678991
Léo Santos,"Dec 9, 1998 (26)",Centre-Back,CD Nacional,Liga Portugal,€600k,Brazil,https://www.transfermarkt.com/leo-santos/profil/spieler/351894
Ivanildo Fernandes,"Mar 26, 1996 (29)",Centre-Back,CD Nacional,Liga Portugal,€200k,Cape Verde / Portugal,https://www.transfermarkt.com/ivanildo-fernandes/profil/spieler/340524
Chico Gonçalves,"Mar 5, 2004 (21)",Centre-Back,CD Nacional,Liga Portugal,€200k,Portugal,https://www.transfermarkt.com/chico-goncalves/profil/spieler/1020652
Douglas Sequeira,"Sep 16, 2003 (21)",Centre-Back,CD Nacional,Liga Portugal,€175k,Costa Rica,https://www.transfermarkt.com/douglas-sequeira/profil/spieler/743705
José Gomes,"Jul 20, 1996 (28)",Left-Back,CD Nacional,Liga Portugal,€1.00m,Portugal,https://www.transfermarkt.com/jose-gomes/profil/spieler/305946
Afonso Freitas,"Apr 7, 2000 (25)",Left-Back,CD Nacional,Liga Portugal,€400k,Portugal,https://www.transfermarkt.com/afonso-freitas/profil/spieler/448264
Garcia,"Jan 4, 2002 (23)",Right-Back,CD Nacional,Liga Portugal,€3.00m,Brazil,https://www.transfermarkt.com/garcia/profil/spieler/574758
João Aurélio,"Aug 17, 1988 (36)",Right-Back,CD Nacional,Liga Portugal,€50k,Portugal,https://www.transfermarkt.com/joao-aurelio/profil/spieler/84711
Djibril Soumaré,"Jan 7, 2003 (22)",Defensive Midfield,CD Nacional,Liga Portugal,€1.50m,Senegal,https://www.transfermarkt.com/djibril-soumare/profil/spieler/1041532
Matheus Dias,"May 9, 2002 (23)",Defensive Midfield,CD Nacional,Liga Portugal,€1.50m,Brazil,https://www.transfermarkt.com/matheus-dias/profil/spieler/815384
Bruno Costa,"Apr 19, 1997 (28)",Central Midfield,CD Nacional,Liga Portugal,€500k,Portugal,https://www.transfermarkt.com/bruno-costa/profil/spieler/344519
