Name,Age,Position,Club Name,League Name,Market Value,Nationality,Profile URL
Nick Pope,"Apr 19, 1992 (33)",Goalkeeper,Newcastle United,Premier League,€8.00m,England,https://www.transfermarkt.com/nick-pope/profil/spieler/192080
Odysseas Vlachodimos,"Apr 26, 1994 (31)",Goalkeeper,Newcastle United,Premier League,€5.00m,Greece / Germany,https://www.transfermarkt.com/odysseas-vlachodimos/profil/spieler/124419
Martin Dúbravka,"Jan 15, 1989 (36)",Goalkeeper,Newcastle United,Premier League,€1.00m,Slovakia,https://www.transfermarkt.com/martin-dubravka/profil/spieler/74960
Mark Gillespie,"Mar 27, 1992 (33)",Goalkeeper,Newcastle United,Premier League,€200k,England,https://www.transfermarkt.com/mark-gillespie/profil/spieler/142389
John Ruddy,"Oct 24, 1986 (38)",Goalkeeper,Newcastle United,Premier League,€150k,England,https://www.transfermarkt.com/john-ruddy/profil/spieler/29712
Sven Botman,"Jan 12, 2000 (25)",Centre-Back,Newcastle United,Premier League,€42.00m,Netherlands,https://www.transfermarkt.com/sven-botman/profil/spieler/361093
Lloyd Kelly,"Oct 6, 1998 (26)",Centre-Back,Newcastle United,Premier League,€16.00m,England / Jamaica,https://www.transfermarkt.com/lloyd-kelly/profil/spieler/480116
Fabian Schär,"Dec 20, 1991 (33)",Centre-Back,Newcastle United,Premier League,€7.00m,Switzerland,https://www.transfermarkt.com/fabian-schar/profil/spieler/135343
Dan Burn,"May 9, 1992 (33)",Centre-Back,Newcastle United,Premier League,€6.00m,England,https://www.transfermarkt.com/dan-burn/profil/spieler/134270
Jamaal Lascelles,"Nov 11, 1993 (31)",Centre-Back,Newcastle United,Premier League,€4.00m,England / Barbados,https://www.transfermarkt.com/jamaal-lascelles/profil/spieler/183318
Lewis Hall,"Sep 8, 2004 (20)",Left-Back,Newcastle United,Premier League,€32.00m,England,https://www.transfermarkt.com/lewis-hall/profil/spieler/670858
Matt Targett,"Sep 18, 1995 (29)",Left-Back,Newcastle United,Premier League,€5.00m,England / Scotland,https://www.transfermarkt.com/matt-targett/profil/spieler/250478
Jamal Lewis,"Jan 25, 1998 (27)",Left-Back,Newcastle United,Premier League,€2.50m,Northern Ireland / England,https://www.transfermarkt.com/jamal-lewis/profil/spieler/346018
Alex Murphy,"Jun 25, 2004 (21)",Left-Back,Newcastle United,Premier League,€300k,Ireland,https://www.transfermarkt.com/alex-murphy/profil/spieler/900601
Tino Livramento,"Nov 12, 2002 (22)",Right-Back,Newcastle United,Premier League,€40.00m,England / Scotland,https://www.transfermarkt.com/tino-livramento/profil/spieler/503981
Kieran Trippier,"Sep 19, 1990 (34)",Right-Back,Newcastle United,Premier League,€4.00m,England,https://www.transfermarkt.com/kieran-trippier/profil/spieler/95810
Emil Krafth,"Aug 2, 1994 (30)",Right-Back,Newcastle United,Premier League,€2.00m,Sweden,https://www.transfermarkt.com/emil-krafth/profil/spieler/184528
Harrison Ashby,"Nov 14, 2001 (23)",Right-Back,Newcastle United,Premier League,€1.40m,Scotland / England,https://www.transfermarkt.com/harrison-ashby/profil/spieler/559130
Leo Shahar,"Mar 18, 2007 (18)",Right-Back,Newcastle United,Premier League,-,England,https://www.transfermarkt.com/leo-shahar/profil/spieler/940858
Bruno Guimarães,"Nov 16, 1997 (27)",Defensive Midfield,Newcastle United,Premier League,€80.00m,Brazil / Spain,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624
Isaac Hayden,"Mar 22, 1995 (30)",Defensive Midfield,Newcastle United,Premier League,€700k,Jamaica / England,https://www.transfermarkt.com/isaac-hayden/profil/spieler/206225
Sandro Tonali,"May 8, 2000 (25)",Central Midfield,Newcastle United,Premier League,€60.00m,Italy,https://www.transfermarkt.com/sandro-tonali/profil/spieler/397033
Joelinton,"Aug 14, 1996 (28)",Central Midfield,Newcastle United,Premier League,€35.00m,Brazil,https://www.transfermarkt.com/joelinton/profil/spieler/333241
Joe Willock,"Aug 20, 1999 (25)",Central Midfield,Newcastle United,Premier League,€22.00m,England / Montserrat,https://www.transfermarkt.com/joe-willock/profil/spieler/340329
Lewis Miley,"May 1, 2006 (19)",Central Midfield,Newcastle United,Premier League,€22.00m,England,https://www.transfermarkt.com/lewis-miley/profil/spieler/922769
Sean Longstaff,"Oct 30, 1997 (27)",Central Midfield,Newcastle United,Premier League,€20.00m,England,https://www.transfermarkt.com/sean-longstaff/profil/spieler/346707
Joe White,"Oct 1, 2002 (22)",Attacking Midfield,Newcastle United,Premier League,€275k,England,https://www.transfermarkt.com/joe-white/profil/spieler/614811
Anthony Gordon,"Feb 24, 2001 (24)",Left Winger,Newcastle United,Premier League,€65.00m,England,https://www.transfermarkt.com/anthony-gordon/profil/spieler/503733
Harvey Barnes,"Dec 9, 1997 (27)",Left Winger,Newcastle United,Premier League,€35.00m,England / Scotland,https://www.transfermarkt.com/harvey-barnes/profil/spieler/398065
Trevan Sanusi,"Apr 25, 2007 (18)",Left Winger,Newcastle United,Premier League,-,England / Nigeria,https://www.transfermarkt.com/trevan-sanusi/profil/spieler/1011152
Jacob Murphy,"Feb 24, 1995 (30)",Right Winger,Newcastle United,Premier League,€16.00m,England / Ireland,https://www.transfermarkt.com/jacob-murphy/profil/spieler/199527
Miguel Almirón,"Feb 10, 1994 (31)",Right Winger,Newcastle United,Premier League,€10.00m,Paraguay,https://www.transfermarkt.com/miguel-almiron/profil/spieler/272999
Alexander Isak,"Sep 21, 1999 (25)",Centre-Forward,Newcastle United,Premier League,€120.00m,Sweden / Eritrea,https://www.transfermarkt.com/alexander-isak/profil/spieler/349066
Callum Wilson,"Feb 27, 1992 (33)",Centre-Forward,Newcastle United,Premier League,€8.00m,England,https://www.transfermarkt.com/callum-wilson/profil/spieler/123682
William Osula,"Aug 4, 2003 (21)",Centre-Forward,Newcastle United,Premier League,€7.00m,Denmark / England,https://www.transfermarkt.com/william-osula/profil/spieler/609556
Sean Neave,"May 27, 2007 (18)",Centre-Forward,Newcastle United,Premier League,-,England,https://www.transfermarkt.com/sean-neave/profil/spieler/1071818
Guglielmo Vicario,"Oct 7, 1996 (28)",Goalkeeper,Tottenham Hotspur,Premier League,€32.00m,Italy,https://www.transfermarkt.com/guglielmo-vicario/profil/spieler/286047
Antonín Kinský,"Mar 13, 2003 (22)",Goalkeeper,Tottenham Hotspur,Premier League,€15.00m,Czech Republic,https://www.transfermarkt.com/antonin-kinsky/profil/spieler/725912
Fraser Forster,"Mar 17, 1988 (37)",Goalkeeper,Tottenham Hotspur,Premier League,€1.00m,England,https://www.transfermarkt.com/fraser-forster/profil/spieler/52570
Brandon Austin,"Jan 8, 1999 (26)",Goalkeeper,Tottenham Hotspur,Premier League,€600k,England / United States,https://www.transfermarkt.com/brandon-austin/profil/spieler/428016
Alfie Whiteman,"Oct 2, 1998 (26)",Goalkeeper,Tottenham Hotspur,Premier League,€500k,England,https://www.transfermarkt.com/alfie-whiteman/profil/spieler/282823
Cristian Romero,"Apr 27, 1998 (27)",Centre-Back,Tottenham Hotspur,Premier League,€50.00m,Argentina,https://www.transfermarkt.com/cristian-romero/profil/spieler/355915
Micky van de Ven,"Apr 19, 2001 (24)",Centre-Back,Tottenham Hotspur,Premier League,€50.00m,Netherlands,https://www.transfermarkt.com/micky-van-de-ven/profil/spieler/557459
Kevin Danso,"Sep 19, 1998 (26)",Centre-Back,Tottenham Hotspur,Premier League,€25.00m,Austria,https://www.transfermarkt.com/kevin-danso/profil/spieler/263236
Radu Drăgușin,"Feb 3, 2002 (23)",Centre-Back,Tottenham Hotspur,Premier League,€25.00m,Romania,https://www.transfermarkt.com/radu-dragusin/profil/spieler/568559
Ben Davies,"Apr 24, 1993 (32)",Centre-Back,Tottenham Hotspur,Premier League,€6.00m,Wales,https://www.transfermarkt.com/ben-davies/profil/spieler/192765
Alfie Dorrington,"Apr 20, 2005 (20)",Centre-Back,Tottenham Hotspur,Premier League,€700k,England,https://www.transfermarkt.com/alfie-dorrington/profil/spieler/796300
Dante Cassanova,"Jun 21, 2004 (21)",Centre-Back,Tottenham Hotspur,Premier League,-,Jamaica / England,https://www.transfermarkt.com/dante-cassanova/profil/spieler/738269
Maeson King,"Sep 9, 2005 (19)",Centre-Back,Tottenham Hotspur,Premier League,-,England,https://www.transfermarkt.com/maeson-king/profil/spieler/1047342
Malachi Hardy,"Mar 10, 2008 (17)",Centre-Back,Tottenham Hotspur,Premier League,-,England,https://www.transfermarkt.com/malachi-hardy/profil/spieler/1108465
Destiny Udogie,"Nov 28, 2002 (22)",Left-Back,Tottenham Hotspur,Premier League,€40.00m,Italy / Nigeria,https://www.transfermarkt.com/destiny-udogie/profil/spieler/556385
Djed Spence,"Aug 9, 2000 (24)",Left-Back,Tottenham Hotspur,Premier League,€20.00m,England / Jamaica,https://www.transfermarkt.com/djed-spence/profil/spieler/483348
Sergio Reguilón,"Dec 16, 1996 (28)",Left-Back,Tottenham Hotspur,Premier League,€6.00m,Spain,https://www.transfermarkt.com/sergio-reguilon/profil/spieler/282429
Pedro Porro,"Sep 13, 1999 (25)",Right-Back,Tottenham Hotspur,Premier League,€38.00m,Spain,https://www.transfermarkt.com/pedro-porro/profil/spieler/553875
Archie Gray,"Mar 12, 2006 (19)",Defensive Midfield,Tottenham Hotspur,Premier League,€38.00m,England / Scotland,https://www.transfermarkt.com/archie-gray/profil/spieler/922693
Rodrigo Bentancur,"Jun 25, 1997 (28)",Defensive Midfield,Tottenham Hotspur,Premier League,€30.00m,Uruguay,https://www.transfermarkt.com/rodrigo-bentancur/profil/spieler/354362
Yves Bissouma,"Aug 30, 1996 (28)",Defensive Midfield,Tottenham Hotspur,Premier League,€25.00m,Mali / Cote d'Ivoire,https://www.transfermarkt.com/yves-bissouma/profil/spieler/410425
Lucas Bergvall,"Feb 2, 2006 (19)",Central Midfield,Tottenham Hotspur,Premier League,€38.00m,Sweden,https://www.transfermarkt.com/lucas-bergvall/profil/spieler/866246
Pape Matar Sarr,"Sep 14, 2002 (22)",Central Midfield,Tottenham Hotspur,Premier League,€32.00m,Senegal,https://www.transfermarkt.com/pape-matar-sarr/profil/spieler/568693
Callum Olusesi,"Mar 11, 2007 (18)",Central Midfield,Tottenham Hotspur,Premier League,€500k,England / Nigeria,https://www.transfermarkt.com/callum-olusesi/profil/spieler/985546
Rio Kyerematen,"Jun 9, 2005 (20)",Central Midfield,Tottenham Hotspur,Premier League,-,England / Ghana,https://www.transfermarkt.com/rio-kyerematen/profil/spieler/882172
Dejan Kulusevski,"Apr 25, 2000 (25)",Attacking Midfield,Tottenham Hotspur,Premier League,€50.00m,Sweden / North Macedonia,https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755
James Maddison,"Nov 23, 1996 (28)",Attacking Midfield,Tottenham Hotspur,Premier League,€42.00m,England,https://www.transfermarkt.com/james-maddison/profil/spieler/294057
Alfie Devine,"Aug 1, 2004 (20)",Attacking Midfield,Tottenham Hotspur,Premier League,€3.50m,England,https://www.transfermarkt.com/alfie-devine/profil/spieler/728734
Lucá Williams-Barnett,"Oct 1, 2008 (16)",Attacking Midfield,Tottenham Hotspur,Premier League,-,England,https://www.transfermarkt.com/luca-williams-barnett/profil/spieler/1108475
Heung-min Son,"Jul 8, 1992 (32)",Left Winger,Tottenham Hotspur,Premier League,€20.00m,"Korea, South",https://www.transfermarkt.com/heung-min-son/profil/spieler/91845
Mikey Moore,"Aug 11, 2007 (17)",Left Winger,Tottenham Hotspur,Premier League,€18.00m,England,https://www.transfermarkt.com/mikey-moore/profil/spieler/1011147
Timo Werner,"Mar 6, 1996 (29)",Left Winger,Tottenham Hotspur,Premier League,€7.00m,Germany,https://www.transfermarkt.com/timo-werner/profil/spieler/170527
Brennan Johnson,"May 23, 2001 (24)",Right Winger,Tottenham Hotspur,Premier League,€40.00m,Wales / England,https://www.transfermarkt.com/brennan-johnson/profil/spieler/470607
Wilson Odobert,"Nov 28, 2004 (20)",Right Winger,Tottenham Hotspur,Premier League,€20.00m,France / Martinique,https://www.transfermarkt.com/wilson-odobert/profil/spieler/743498
Min-hyeok Yang,"Apr 16, 2006 (19)",Right Winger,Tottenham Hotspur,Premier League,€3.50m,"Korea, South",https://www.transfermarkt.com/min-hyeok-yang/profil/spieler/1004327
Damola Ajayi,"Dec 27, 2005 (19)",Right Winger,Tottenham Hotspur,Premier League,-,England / Nigeria,https://www.transfermarkt.com/damola-ajayi/profil/spieler/999745
Dominic Solanke,"Sep 14, 1997 (27)",Centre-Forward,Tottenham Hotspur,Premier League,€40.00m,England / Nigeria,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
Mathys Tel,"Apr 27, 2005 (20)",Centre-Forward,Tottenham Hotspur,Premier League,€35.00m,France / Guadeloupe,https://www.transfermarkt.com/mathys-tel/profil/spieler/801734
Richarlison,"May 10, 1997 (28)",Centre-Forward,Tottenham Hotspur,Premier League,€20.00m,Brazil,https://www.transfermarkt.com/richarlison/profil/spieler/378710
Will Lankshear,"Apr 20, 2005 (20)",Centre-Forward,Tottenham Hotspur,Premier League,€3.00m,England,https://www.transfermarkt.com/will-lankshear/profil/spieler/879768
Dane Scarlett,"Mar 24, 2004 (21)",Centre-Forward,Tottenham Hotspur,Premier League,€2.00m,England / Jamaica,https://www.transfermarkt.com/dane-scarlett/profil/spieler/670883
Jordan Pickford,"Mar 7, 1994 (31)",Goalkeeper,Everton FC,Premier League,€18.00m,England,https://www.transfermarkt.com/jordan-pickford/profil/spieler/130164
João Virgínia,"Oct 10, 1999 (25)",Goalkeeper,Everton FC,Premier League,€800k,Portugal,https://www.transfermarkt.com/joao-virginia/profil/spieler/329813
Asmir Begovic,"Jun 20, 1987 (38)",Goalkeeper,Everton FC,Premier League,€250k,Bosnia-Herzegovina / Canada,https://www.transfermarkt.com/asmir-begovic/profil/spieler/33873
Zan Luk Leban,"Dec 15, 2002 (22)",Goalkeeper,Everton FC,Premier League,€150k,Slovenia,https://www.transfermarkt.com/zan-luk-leban/profil/spieler/605757
Jarrad Branthwaite,"Jun 27, 2002 (23)",Centre-Back,Everton FC,Premier League,€50.00m,England,https://www.transfermarkt.com/jarrad-branthwaite/profil/spieler/661053
James Tarkowski,"Nov 19, 1992 (32)",Centre-Back,Everton FC,Premier League,€9.00m,England / Poland,https://www.transfermarkt.com/james-tarkowski/profil/spieler/173504
Michael Keane,"Jan 11, 1993 (32)",Centre-Back,Everton FC,Premier League,€5.00m,England / Ireland,https://www.transfermarkt.com/michael-keane/profil/spieler/118534
Mason Holgate,"Oct 22, 1996 (28)",Centre-Back,Everton FC,Premier League,€4.00m,Jamaica / England,https://www.transfermarkt.com/mason-holgate/profil/spieler/348623
Reece Welch,"Sep 19, 2003 (21)",Centre-Back,Everton FC,Premier League,€350k,England / Jamaica,https://www.transfermarkt.com/reece-welch/profil/spieler/655986
Bradley Moonan,"Apr 2, 2006 (19)",Centre-Back,Everton FC,Premier League,-,England,https://www.transfermarkt.com/bradley-moonan/profil/spieler/1031258
Vitaliy Mykolenko,"May 29, 1999 (26)",Left-Back,Everton FC,Premier League,€28.00m,Ukraine,https://www.transfermarkt.com/vitaliy-mykolenko/profil/spieler/404842
Jake O'Brien,"May 15, 2001 (24)",Right-Back,Everton FC,Premier League,€18.00m,Ireland,https://www.transfermarkt.com/jake-obrien/profil/spieler/711544
Nathan Patterson,"Oct 16, 2001 (23)",Right-Back,Everton FC,Premier League,€15.00m,Scotland,https://www.transfermarkt.com/nathan-patterson/profil/spieler/424015
Ashley Young,"Jul 9, 1985 (39)",Right-Back,Everton FC,Premier League,€500k,England / Jamaica,https://www.transfermarkt.com/ashley-young/profil/spieler/14086
Séamus Coleman,"Oct 11, 1988 (36)",Right-Back,Everton FC,Premier League,€500k,Ireland,https://www.transfermarkt.com/seamus-coleman/profil/spieler/68390
Roman Dixon,"Dec 26, 2004 (20)",Right-Back,Everton FC,Premier League,€200k,England,https://www.transfermarkt.com/roman-dixon/profil/spieler/856479
Orel Mangala,"Mar 18, 1998 (27)",Defensive Midfield,Everton FC,Premier League,€18.00m,Belgium / DR Congo,https://www.transfermarkt.com/orel-mangala/profil/spieler/289592
James Garner,"Mar 13, 2001 (24)",Defensive Midfield,Everton FC,Premier League,€18.00m,England,https://www.transfermarkt.com/james-garner/profil/spieler/505219
Idrissa Gueye,"Sep 26, 1989 (35)",Defensive Midfield,Everton FC,Premier League,€1.50m,Senegal,https://www.transfermarkt.com/idrissa-gueye/profil/spieler/126665
Luke Butterfield,"Sep 29, 2003 (21)",Defensive Midfield,Everton FC,Premier League,-,Scotland / England,https://www.transfermarkt.com/luke-butterfield/profil/spieler/652635
Carlos Alcaraz,"Nov 30, 2002 (22)",Central Midfield,Everton FC,Premier League,€14.00m,Argentina,https://www.transfermarkt.com/carlos-alcaraz/profil/spieler/748319
Tim Iroegbunam,"Jun 30, 2003 (22)",Central Midfield,Everton FC,Premier League,€9.00m,England / Nigeria,https://www.transfermarkt.com/tim-iroegbunam/profil/spieler/696589
Harrison Armstrong,"Jan 19, 2007 (18)",Central Midfield,Everton FC,Premier League,€800k,England,https://www.transfermarkt.com/harrison-armstrong/profil/spieler/1107733
Jenson Metcalfe,"Sep 6, 2004 (20)",Central Midfield,Everton FC,Premier League,€175k,England,https://www.transfermarkt.com/jenson-metcalfe/profil/spieler/855890
Callum Bates,"Sep 28, 2005 (19)",Central Midfield,Everton FC,Premier League,-,England,https://www.transfermarkt.com/callum-bates/profil/spieler/1018716
Abdoulaye Doucouré,"Jan 1, 1993 (32)",Attacking Midfield,Everton FC,Premier League,€7.00m,Mali / France,https://www.transfermarkt.com/abdoulaye-doucoure/profil/spieler/127187
Owen Barker,"Feb 23, 2005 (20)",Attacking Midfield,Everton FC,Premier League,-,England,https://www.transfermarkt.com/owen-barker/profil/spieler/796302
Dwight McNeil,"Nov 22, 1999 (25)",Left Winger,Everton FC,Premier League,€25.00m,England / Jamaica,https://www.transfermarkt.com/dwight-mcneil/profil/spieler/584769
Iliman Ndiaye,"Mar 6, 2000 (25)",Left Winger,Everton FC,Premier League,€22.00m,Senegal / France,https://www.transfermarkt.com/iliman-ndiaye/profil/spieler/623570
Isaac Heath,"Oct 28, 2004 (20)",Left Winger,Everton FC,Premier League,-,England,https://www.transfermarkt.com/isaac-heath/profil/spieler/847579
Coby Ebere,"Sep 17, 2005 (19)",Left Winger,Everton FC,Premier League,-,Germany / Nigeria,https://www.transfermarkt.com/coby-ebere/profil/spieler/1018714
Jesper Lindstrøm,"Feb 29, 2000 (25)",Right Winger,Everton FC,Premier League,€18.00m,Denmark,https://www.transfermarkt.com/jesper-lindstrom/profil/spieler/513245
Jack Harrison,"Nov 20, 1996 (28)",Right Winger,Everton FC,Premier League,€14.00m,England,https://www.transfermarkt.com/jack-harrison/profil/spieler/417346
Beto,"Jan 31, 1998 (27)",Centre-Forward,Everton FC,Premier League,€22.00m,Guinea-Bissau / Portugal,https://www.transfermarkt.com/beto/profil/spieler/595809
Dominic Calvert-Lewin,"Mar 16, 1997 (28)",Centre-Forward,Everton FC,Premier League,€16.00m,England,https://www.transfermarkt.com/dominic-calvert-lewin/profil/spieler/306024
Armando Broja,"Sep 10, 2001 (23)",Centre-Forward,Everton FC,Premier League,€12.00m,Albania / England,https://www.transfermarkt.com/armando-broja/profil/spieler/571743
Neal Maupay,"Aug 14, 1996 (28)",Centre-Forward,Everton FC,Premier League,€8.00m,France / Argentina,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
Chermiti,"May 24, 2004 (21)",Centre-Forward,Everton FC,Premier League,€8.00m,Portugal / Tunisia,https://www.transfermarkt.com/chermiti/profil/spieler/670688
Martin Sherif,"Jun 10, 2006 (19)",Centre-Forward,Everton FC,Premier League,-,Netherlands / Liberia,https://www.transfermarkt.com/martin-sherif/profil/spieler/922695
Alphonse Areola,"Feb 27, 1993 (32)",Goalkeeper,West Ham United,Premier League,€9.00m,France / Philippines,https://www.transfermarkt.com/alphonse-areola/profil/spieler/120629
Wes Foderingham,"Jan 14, 1991 (34)",Goalkeeper,West Ham United,Premier League,€600k,England,https://www.transfermarkt.com/wes-foderingham/profil/spieler/61697
Lukasz Fabianski,"Apr 18, 1985 (40)",Goalkeeper,West Ham United,Premier League,€500k,Poland,https://www.transfermarkt.com/lukasz-fabianski/profil/spieler/29692
Jean-Clair Todibo,"Dec 30, 1999 (25)",Centre-Back,West Ham United,Premier League,€25.00m,France / French Guiana,https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184
Maximilian Kilman,"May 23, 1997 (28)",Centre-Back,West Ham United,Premier League,€25.00m,England / Ukraine,https://www.transfermarkt.com/maximilian-kilman/profil/spieler/525247
Konstantinos Mavropanos,"Dec 11, 1997 (27)",Centre-Back,West Ham United,Premier League,€17.00m,Greece,https://www.transfermarkt.com/konstantinos-mavropanos/profil/spieler/415912
Kaelan Casey,"Oct 28, 2004 (20)",Centre-Back,West Ham United,Premier League,€1.00m,England,https://www.transfermarkt.com/kaelan-casey/profil/spieler/845321
Ezra Mayers,"Jan 16, 2007 (18)",Centre-Back,West Ham United,Premier League,-,England / Germany,https://www.transfermarkt.com/ezra-mayers/profil/spieler/1107726
Emerson,"Aug 3, 1994 (30)",Left-Back,West Ham United,Premier League,€10.00m,Italy / Brazil,https://www.transfermarkt.com/emerson/profil/spieler/181778
Oliver Scarles,"Dec 12, 2005 (19)",Left-Back,West Ham United,Premier League,€8.00m,England,https://www.transfermarkt.com/oliver-scarles/profil/spieler/922563
Aaron Cresswell,"Dec 15, 1989 (35)",Left-Back,West Ham United,Premier League,€500k,England,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571
Aaron Wan-Bissaka,"Nov 26, 1997 (27)",Right-Back,West Ham United,Premier League,€24.00m,DR Congo / England,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
Vladimír Coufal,"Aug 22, 1992 (32)",Right-Back,West Ham United,Premier League,€5.00m,Czech Republic,https://www.transfermarkt.com/vladimir-coufal/profil/spieler/157672
Edson Álvarez,"Oct 24, 1997 (27)",Defensive Midfield,West Ham United,Premier League,€25.00m,Mexico,https://www.transfermarkt.com/edson-alvarez/profil/spieler/401356
Tomas Soucek,"Feb 27, 1995 (30)",Defensive Midfield,West Ham United,Premier League,€18.00m,Czech Republic,https://www.transfermarkt.com/tomas-soucek/profil/spieler/283628
Guido Rodríguez,"Apr 12, 1994 (31)",Defensive Midfield,West Ham United,Premier League,€10.00m,Argentina / Italy,https://www.transfermarkt.com/guido-rodriguez/profil/spieler/342385
Carlos Soler,"Jan 2, 1997 (28)",Central Midfield,West Ham United,Premier League,€18.00m,Spain,https://www.transfermarkt.com/carlos-soler/profil/spieler/372246
James Ward-Prowse,"Nov 1, 1994 (30)",Central Midfield,West Ham United,Premier League,€8.00m,England,https://www.transfermarkt.com/james-ward-prowse/profil/spieler/181579
