Name,Age,Position,Club Name,League Name,Market Value,Nationality,Profile URL
Okan Kocuk,"Jul 27, 1995 (29)",Goalkeeper,Samsunspor,Süper Lig,€2.20m,Türkiye,https://www.transfermarkt.com/okan-kocuk/profil/spieler/204189
Halil Yeral,"Jan 1, 2000 (25)",Goalkeeper,Samsunspor,Süper Lig,€75k,Türkiye,https://www.transfermarkt.com/halil-yeral/profil/spieler/511119
Taha Tosun,"Apr 28, 2005 (20)",Goalkeeper,Samsunspor,Süper Lig,€50k,Türkiye,https://www.transfermarkt.com/taha-tosun/profil/spieler/1072259
Efe Berat Törüz,"Sep 8, 2006 (18)",Goalkeeper,Samsunspor,Süper Lig,-,Türkiye,https://www.transfermarkt.com/efe-berat-toruz/profil/spieler/1070009
Rick van Drongelen,"Dec 20, 1998 (26)",Centre-Back,Samsunspor,Süper Lig,€2.70m,Netherlands,https://www.transfermarkt.com/rick-van-drongelen/profil/spieler/354340
Lubomir Satka,"Dec 2, 1995 (29)",Centre-Back,Samsunspor,Süper Lig,€1.70m,Slovakia,https://www.transfermarkt.com/lubomir-satka/profil/spieler/168408
Yunus Emre Çift,"Sep 1, 2003 (21)",Centre-Back,Samsunspor,Süper Lig,€450k,Türkiye,https://www.transfermarkt.com/yunus-emre-cift/profil/spieler/821622
Bedirhan Çetin,"Jun 29, 2006 (19)",Centre-Back,Samsunspor,Süper Lig,€175k,Türkiye,https://www.transfermarkt.com/bedirhan-cetin/profil/spieler/1017551
Elano Yegen,"Oct 8, 2002 (22)",Centre-Back,Samsunspor,Süper Lig,€50k,Türkiye / Netherlands,https://www.transfermarkt.com/elano-yegen/profil/spieler/811114
Kerem Fidan,"Apr 7, 2006 (19)",Centre-Back,Samsunspor,Süper Lig,-,Türkiye,https://www.transfermarkt.com/kerem-fidan/profil/spieler/1173403
Marc Bola,"Dec 9, 1997 (27)",Left-Back,Samsunspor,Süper Lig,€1.50m,England / DR Congo,https://www.transfermarkt.com/marc-bola/profil/spieler/340310
Soner Gönül,"Jun 11, 1997 (28)",Left-Back,Samsunspor,Süper Lig,€750k,Türkiye,https://www.transfermarkt.com/soner-gonul/profil/spieler/340967
Enes Albak,"May 16, 2005 (20)",Left-Back,Samsunspor,Süper Lig,€150k,Türkiye,https://www.transfermarkt.com/enes-albak/profil/spieler/1072260
Berat Efe Eser,"Sep 7, 2006 (18)",Left-Back,Samsunspor,Süper Lig,-,Türkiye,https://www.transfermarkt.com/berat-efe-eser/profil/spieler/1173280
